energy,tempo,danceability,loudness,liveness,valence,instrumentalness,speechiness,acousticness,track_popularity,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,mode,key
0.206,130.415,0.351,-22.657,0.0738,0.0839,0.255,0.0597,0.797,43,The Sorcerer's Apprentice,"Paul Dukas, Philharmonia Orchestra",Fantasia 2000,1999-01-01,classical,essential,1.0,1.0
0.123,141.485,0.311,-19.708,0.178,0.203,0.898,0.0367,0.931,43,"The Marriage of Figaro Overture, KV 492","Wolfgang Amadeus Mozart, London Philharmonic Orchestra, Alfred Scholz",Mozart: Marriage of Figaro Overture - Magic Flute Overture - Abduction from the Seraglio Overture,2009-01-01,classical,essential,1.0,2.0
0.0251,126.31,0.234,-28.627,0.101,0.04,0.202,0.0449,0.937,44,"Petite Suite de Concert, Op. 77: III. Un sonnet d'amour","Samuel Coleridge-Taylor, Chineke! Orchestra, Anthony Parnther","Coleridge-Taylor: Petite Suite de Concert, Op. 77: III. Un sonnet d'amour",2022-07-29,classical,essential,1.0,9.0
0.674,135.975,0.872,-5.831,0.104,0.357,0.0,0.251,0.17,61,Back on the Road (feat. Lil Wayne),"Cordae, Lil Wayne",The Crossroads,2024-11-15,hip-hop,modern,0.0,2.0
0.831,139.905,0.652,-5.972,0.269,0.648,0.0,0.264,0.0111,68,The Viper,BabyChiefDoit,The Viper,2024-09-20,hip-hop,modern,0.0,10.0
0.632,123.987,0.848,-7.381,0.282,0.253,0.0,0.277,0.398,68,"Bent (with Kyle Richh, Jenn Carter & TaTa)","41, Kyle Richh, Jenn Carter, TaTa",41 World: Not The Album,2023-11-17,hip-hop,gangster,1.0,2.0
0.61,156.005,0.676,-9.185,0.191,0.519,1.73e-06,0.273,0.000114,56,AHHH HA,Lil Durk,7220,2022-03-11,hip-hop,gangster,1.0,1.0
0.48,84.098,0.874,-12.092,0.11,0.563,0.0,0.565,0.033,24,Floridaboiii,Yung Rich Cuban,One Way,2022-06-03,hip-hop,gangster,1.0,11.0
0.939,157.916,0.504,-7.434,0.41,0.42,0.0,0.295,0.0628,21,Legend,"Venture Klan, Tacitoak, Li Pierre",The Side Effects of The Sun,2024-10-01,hip-hop,gangster,0.0,1.0
0.414,72.993,0.825,-6.634,0.357,0.106,0.0,0.144,0.00265,66,Super Gremlin,Kodak Black,Back For Everything,2022-02-25,hip-hop,gangster,1.0,2.0
0.569,148.014,0.735,-10.35,0.11,0.263,0.000163,0.0386,0.00189,16,OverSeas,Nosy!,OverSeas,2024-09-30,hip-hop,gangster,0.0,9.0
0.875,181.884,0.586,-5.07,0.474,0.75,0.0,0.308,0.166,19,U Can't Do That,IZZY MEOCK,U Can't Do That,2024-07-03,hip-hop,gangster,0.0,7.0
0.883,156.999,0.601,-1.627,0.184,0.27,0.0,0.092,0.00088,15,sharktale,Sopperior,sharktale,2024-11-07,hip-hop,gangster,0.0,8.0
0.607,141.992,0.68,-5.523,0.354,0.506,1.39e-05,0.222,0.264,62,Hawk Em,Pop Smoke,Meet The Woo,2019-07-26,hip-hop,gangster,1.0,2.0
0.455,138.988,0.89,-10.226,0.153,0.897,0.0,0.437,0.158,64,Welcome To Brixton,SR,Welcome To Brixton,2020-11-27,hip-hop,gangster,1.0,2.0
0.837,95.011,0.753,-8.207,0.239,0.479,0.0,0.211,0.0232,16,Japanese Steel - Eerie Remix,Ollie Twist,Japanese Steel,2024-07-16,hip-hop,gangster,1.0,7.0
0.744,140.99,0.772,-5.108,0.066,0.764,0.0,0.244,0.0114,55,Christopher Walking,Pop Smoke,Meet The Woo 2,2020-02-07,hip-hop,gangster,0.0,6.0
0.673,120.973,0.851,-5.405,0.314,0.776,0.0,0.257,0.0452,57,We Getting Money,Sheff G,THE UNLUCCY LUCCY KID,2019-09-27,hip-hop,gangster,1.0,1.0
0.447,125.103,0.709,-10.78,0.189,0.207,0.0,0.34,0.025,47,Eyes Red,"Lil Durk, Only The Family",Nightmares In the Trenches,2023-11-17,hip-hop,gangster,0.0,10.0
0.426,110.04,0.782,-14.006,0.0822,0.476,0.000144,0.0687,0.307,15,maple maple,baba bonet,temper tantrum,2024-10-16,hip-hop,gangster,0.0,1.0
0.538,146.933,0.759,-8.256,0.126,0.831,0.0,0.384,0.151,67,Back in Blood (feat. Lil Durk),"Pooh Shiesty, Lil Durk",Shiesty Season,2021-02-05,hip-hop,gangster,0.0,8.0
0.401,130.977,0.907,-8.288,0.111,0.173,0.0,0.107,0.00892,23,Static,2JtheRichest,Static,2024-07-12,hip-hop,gangster,0.0,0.0
0.59,119.97,0.88,-4.709,0.184,0.723,0.0,0.204,0.08,68,M4,"Teto, Matuê",M4,2021-01-20,hip-hop,trap,0.0,8.0
0.586,124.041,0.808,-7.242,0.14,0.568,0.0,0.169,0.641,68,Me Acostumbre (feat. Bad Bunny),"Arcángel, Bad Bunny",Me Acostumbre (feat. Bad Bunny),2017-04-11,hip-hop,trap,0.0,10.0
0.519,95.006,0.872,-6.531,0.108,0.154,0.0,0.177,0.203,65,Plug Walk,Rich The Kid,The World Is Yours,2018-03-30,hip-hop,trap,1.0,11.0
0.668,134.006,0.798,-5.244,0.0583,0.154,4.6e-06,0.25,0.135,65,100 Shots,Young Dolph,Bulletproof,2017-04-01,hip-hop,trap,1.0,8.0
0.655,139.955,0.845,-5.137,0.0974,0.516,0.0,0.0612,0.239,63,Groupies,"Doode, Teto, Matuê",Groupies,2021-09-28,hip-hop,trap,0.0,5.0
